keV           meter
1.200000e+04  3.527212e+01  
1.200000e+04  4.331958e+01  
1.500000e+04  4.331958e+01  
1.500000e+04  5.252983e+01  
1.900000e+04  5.252983e+01  
1.900000e+04  6.541036e+01  
2.550000e+04  6.541036e+01  
2.550000e+04  7.955931e+01  
3.200000e+04  7.955931e+01  
3.200000e+04  9.432358e+01  
4.000000e+04  9.432358e+01  
4.000000e+04  1.142828e+02  
5.250000e+04  1.142828e+02  
5.250000e+04  1.375473e+02  
6.600000e+04  1.375473e+02  
6.600000e+04  1.676502e+02  
8.800000e+04  1.676502e+02  
8.800000e+04  2.030455e+02  
1.100000e+05  2.030455e+02  
1.100000e+05  2.292180e+02  
1.350000e+05  2.292180e+02  
1.350000e+05  2.524482e+02  
1.600000e+05  2.524482e+02  
1.600000e+05  2.764297e+02  
1.900000e+05  2.764297e+02  
1.900000e+05  3.018624e+02  
2.200000e+05  3.018624e+02  
2.200000e+05  3.329142e+02  
2.550000e+05  3.329142e+02  
2.550000e+05  3.656043e+02  
2.900000e+05  3.656043e+02  
2.900000e+05  3.939431e+02  
3.200000e+05  3.939431e+02  
3.200000e+05  4.245189e+02  
3.600000e+05  4.245189e+02  
3.600000e+05  4.618376e+02  
4.000000e+05  4.618376e+02  
4.000000e+05  5.109781e+02  
4.500000e+05  5.109781e+02  
4.500000e+05  5.661595e+02  
5.000000e+05  5.661595e+02  
5.000000e+05  6.217811e+02  
5.500000e+05  6.217811e+02  
5.500000e+05  6.765652e+02  
6.000000e+05  6.765652e+02  
6.000000e+05  7.360175e+02  
6.600000e+05  7.360175e+02  
6.600000e+05  8.018606e+02  
7.200000e+05  8.018606e+02  
7.200000e+05  8.732801e+02  
7.800000e+05  8.732801e+02  
7.800000e+05  9.445717e+02  
8.400000e+05  9.445717e+02  
8.400000e+05  1.022031e+03  
9.200000e+05  1.022031e+03  
9.200000e+05  1.106355e+03  
1.000000e+06  1.106355e+03  
1.000000e+06  1.264386e+03  
1.200000e+06  1.264386e+03  
1.200000e+06  1.495427e+03  
1.400000e+06  1.495427e+03  
1.400000e+06  1.720552e+03  
1.600000e+06  1.720552e+03  
1.600000e+06  1.937933e+03  
1.800000e+06  1.937933e+03  
1.800000e+06  2.142150e+03  
2.000000e+06  2.142150e+03  
2.000000e+06  2.345611e+03  
2.300000e+06  2.345611e+03  
2.300000e+06  2.579937e+03  
2.600000e+06  2.579937e+03  
2.600000e+06  2.800653e+03  
2.900000e+06  2.800653e+03  
2.900000e+06  3.027075e+03  
3.300000e+06  3.027075e+03  
3.300000e+06  3.230083e+03  
3.700000e+06  3.230083e+03  
3.700000e+06  3.420417e+03  
4.100000e+06  3.420417e+03  
4.100000e+06  3.600914e+03  
4.500000e+06  3.600914e+03  
4.500000e+06  3.795505e+03  
5.000000e+06  3.795505e+03  
5.000000e+06  4.011187e+03  
5.500000e+06  4.011187e+03  
5.500000e+06  4.230392e+03  
6.000000e+06  4.230392e+03  
6.000000e+06  4.481807e+03  
6.700000e+06  4.481807e+03  
6.700000e+06  4.757048e+03  
7.400000e+06  4.757048e+03  
7.400000e+06  5.058090e+03  
8.200000e+06  5.058090e+03  
8.200000e+06  5.363707e+03  
9.000000e+06  5.363707e+03  
9.000000e+06  5.693649e+03  
1.000000e+07  5.693649e+03  
1.000000e+07  6.199319e+03  
1.100000e+07  6.199319e+03  
1.100000e+07  6.927030e+03  
1.200000e+07  6.927030e+03  
1.200000e+07  7.736332e+03  
1.300000e+07  7.736332e+03  
1.300000e+07  8.663280e+03  
1.400000e+07  8.663280e+03  
1.400000e+07  9.637493e+03  
1.500000e+07  9.637493e+03  
1.500000e+07  1.056914e+04  
1.600000e+07  1.056914e+04  
1.600000e+07  1.141452e+04  
1.700000e+07  1.141452e+04  
1.700000e+07  1.227999e+04  
1.800000e+07  1.227999e+04  
1.800000e+07  1.315072e+04  
1.900000e+07  1.315072e+04  
1.900000e+07  1.403799e+04  
2.000000e+07  1.403799e+04  
